346000	1594000
334000	1563000
277000	1551000
252000	1533000
274000	1534000
276000	1557000
247000	1579000
248000	1625000
326000	1621000
240000	1577000
225000	1525000
215000	1505000
223000	1470000
251000	1410000
289000	1386000
218000	1342000
216000	1302000
221000	1242000
188000	1169000
177000	1129000
170000	1062000
175000	1085000
188000	1038000
176000	1023000
178000	1008000
206000	980000
322000	1139000
309000	1212000
282000	1184000
243000	1205000
250000	1174000
193000	1132000
174000	1064000
160000	994000
163000	931000
156000	938000
165000	891000
155000	878000
154000	860000
195000	859000
159000	901000
181000	891000
174000	893000
204000	920000
201000	951000
209000	952000
200000	1062000
228000	1089000
258000	1127000
241000	1201000
289000	1260000
332000	1484000
357000	1618000
373000	1647000
293000	1649000
242000	1602000
308000	1591000
257000	1572000
214000	1541000
199000	1575000
198000	1513000
208000	1469000
179000	1421000
175000	1358000
165000	1288000
184000	1202000
167000	1174000
165000	1123000
216000	1112000
180000	1040000
164000	1006000
156000	966000
148000	923000
139000	916000
149000	921000
154000	883000
152000	872000
173000	858000
266000	982000
242000	1022000
216000	975000
238000	975000
235000	1012000
222000	1021000
160000	994000
148000	935000
139000	845000
135000	836000
141000	805000
142000	786000
143000	785000
153000	788000
151000	790000
151000	791000
152000	797000
161000	804000
174000	839000
196000	909000
211000	922000
180000	1002000
223000	1033000
233000	1074000
243000	1083000
333000	1352000
290000	1532000
337000	1509000
265000	1469000
236000	1474000
250000	1487000
248000	1440000
219000	1498000
199000	1461000
206000	1437000
195000	1400000
179000	1342000
158000	1279000
157000	1200000
170000	1197000
187000	1145000
168000	1089000
151000	1019000
150000	974000
157000	945000
141000	916000
138000	883000
135000	855000
148000	848000
145000	844000
155000	843000
177000	854000
267000	949000
271000	1033000
246000	1012000
221000	1041000
223000	1061000
210000	1023000
168000	962000
154000	912000
144000	870000
133000	872000
149000	848000
147000	823000
147000	821000
159000	830000
168000	832000
155000	864000
171000	879000
174000	902000
206000	935000
196000	1007000
230000	1025000
219000	1152000
247000	1193000
264000	1251000
289000	1273000
320000	1534000
344000	1787000
429000	1835000
386000	1848000
316000	1872000
293000	1860000
324000	1831000
308000	1924000
285000	1869000
241000	1869000
270000	1833000
258000	1808000
233000	1788000
236000	1775000
250000	1762000
300000	1739000
339000	1767000
299000	1805000
278000	1774000
279000	1738000
242000	1689000
231000	1639000
224000	1579000
234000	1582000
242000	1574000
245000	1578000
247000	1579000
309000	1628000
369000	1759000
353000	1774000
329000	1801000
293000	1790000
278000	1767000
257000	1748000
238000	1706000
220000	1646000
240000	1577000
207000	1643000
247000	1585000
256000	1597000
284000	1640000
287000	1672000
259000	1728000
280000	1758000
283000	1773000
333000	1854000
307000	2007000
333000	1980000
354000	2186000
378000	2214000
370000	2223000
354000	2254000
451000	2446000
443000	2757000
500000	2829000
452000	2798000
399000	2794000
353000	2781000
375000	2761000
333000	2744000
286000	2782000
289000	2717000
306000	2703000
275000	2634000
260000	2561000
261000	2505000
267000	2406000
278000	2374000
257000	2323000
248000	2226000
237000	2144000
260000	2077000
230000	2030000
231000	1989000
231000	1918000
232000	1947000
244000	1902000
249000	1883000
247000	1870000
288000	1846000
335000	2006000
367000	1979000
342000	1997000
340000	2020000
362000	2015000
282000	1985000
252000	1895000
228000	1817000
268000	1756000
219000	1801000
230000	1733000
236000	1713000
238000	1690000
280000	1692000
233000	1724000
251000	1693000
241000	1746000
297000	1787000
289000	1828000
291000	1814000
284000	2015000
372000	2053000
348000	2110000
329000	2147000
340000	2245000
405000	2485000
479000	2529000
395000	2527000
347000	2516000
326000	2529000
342000	2506000
318000	2551000
279000	2470000
252000	2474000
263000	2413000
257000	2360000
241000	2298000
231000	2203000
224000	2176000
271000	2116000
237000	2048000
223000	1966000
214000	1890000
234000	1836000
218000	1770000
210000	1731000
209000	1664000
198000	1673000
224000	1637000
227000	1619000
240000	1633000
327000	1645000
364000	1834000
367000	1848000
299000	1835000
266000	1796000
256000	1705000
220000	1633000
203000	1554000
195000	1500000
192000	1433000
178000	1447000
196000	1388000
193000	1369000
192000	1340000
233000	1330000
202000	1366000
214000	1342000
196000	1383000
242000	1377000
236000	1457000
280000	1445000
238000	1620000
268000	1607000
317000	1678000
323000	1789000
327000	1759000
338000	2026000
345000	2121000
412000	2170000
324000	2122000
267000	2111000
285000	2079000
276000	2063000
242000	2061000
220000	2081000
233000	2018000
227000	1977000
212000	1924000
209000	1855000
193000	1790000
244000	1742000
212000	1684000
211000	1681000
194000	1595000
214000	1539000
198000	1497000
189000	1465000
190000	1407000
173000	1426000
210000	1391000
198000	1399000
206000	1389000
215000	1346000
309000	1494000
270000	1536000
259000	1496000
265000	1495000
262000	1501000
238000	1515000
207000	1457000
190000	1409000
180000	1325000
177000	1354000
186000	1297000
187000	1276000
191000	1270000
210000	1252000
207000	1303000
208000	1284000
200000	1332000
230000	1339000
277000	1419000
261000	1430000
237000	1600000
299000	1630000
345000	1715000
340000	1821000
429000	1872000
461000	2160000
405000	2523000
584000	2529000
465000	2618000
373000	2567000
381000	2558000
459000	2604000
352000	2656000
296000	2676000
313000	2590000
310000	2577000
293000	2533000
285000	2477000
279000	2404000
288000	2327000
278000	2274000
256000	2227000
235000	2111000
243000	2038000
249000	1977000
238000	1943000
246000	1855000
209000	1898000
267000	1854000
255000	1867000
266000	1833000
285000	1783000
350000	1994000
351000	2039000
325000	1985000
333000	1949000
340000	1971000
318000	1961000
269000	1899000
260000	1836000
259000	1763000
253000	1815000
271000	1786000
283000	1757000
279000	1772000
325000	1792000
358000	1857000
324000	1980000
357000	2005000
375000	2104000
435000	2229000
450000	2437000
532000	2437000
524000	2973000
693000	3152000
637000	3354000
677000	3322000
813000	3951000
681000	4603000
969000	4582000
850000	4769000
729000	4871000
699000	4874000
691000	4995000
608000	5037000
567000	5229000
568000	5173000
569000	5206000
494000	5141000
499000	5021000
477000	5020000
505000	4959000
496000	4867000
456000	4783000
429000	4657000
420000	4559000
432000	4439000
410000	4339000
391000	4039000
360000	4195000
443000	4048000
422000	4033000
428000	3904000
407000	3525000
460000	3859000
517000	3906000
481000	3998000
471000	3801000
462000	3708000
429000	3655000
367000	3476000
353000	3366000
332000	3134000
331000	3182000
341000	3092000
336000	3025000
342000	2985000
365000	2964000
385000	2840000
332000	2962000
372000	2926000
378000	2920000
414000	2902000
371000	3090000
419000	2905000
403000	3285000
487000	3287000
456000	3314000
463000	3134000
573000	3485000
540000	4111000
708000	3964000
563000	3892000
486000	3871000
450000	3780000
452000	3756000
391000	3737000
367000	3755000
353000	3640000
366000	3599000
343000	3485000
330000	3399000
314000	3276000
334000	3198000
366000	3090000
316000	3053000
311000	2977000
313000	2902000
345000	2839000
308000	2776000
311000	2704000
310000	2584000
307000	2694000
351000	2628000
342000	2655000
339000	2627000
401000	2600000
445000	2878000
455000	2895000
418000	2848000
401000	2797000
373000	2769000
329000	2701000
320000	2621000
301000	2587000
321000	2412000
280000	2538000
320000	2443000
327000	2443000
332000	2412000
388000	2388000
325000	2491000
361000	2480000
370000	2515000
387000	2513000
363000	2690000
430000	2574000
369000	2901000
500000	2936000
494000	3005000
434000	2915000
466000	3047000
558000	3529000
685000	3542000
597000	3582000
589000	3679000
518000	3721000
704000	3781000
552000	3744000
422000	3576000
360000	3564000
367000	3395000
335000	3314000
321000	3173000
298000	3050000
296000	2930000
367000	2907000
316000	2790000
314000	2693000
305000	2584000
333000	2505000
309000	2463000
293000	2408000
298000	2291000
283000	2389000
308000	2302000
310000	2307000
321000	2265000
348000	2215000
431000	2467000
424000	2519000
391000	2468000
380000	2455000
379000	2439000
319000	2406000
298000	2336000
282000	2241000
289000	2096000
260000	2181000
289000	2089000
293000	2058000
275000	2023000
345000	1984000
287000	2096000
322000	2076000
309000	2126000
352000	2080000
310000	2261000
367000	2131000
342000	2483000
430000	2446000
448000	2540000
412000	2571000
450000	2594000
535000	2949000
559000	3167000
579000	3053000
500000	3243000
445000	3321000
447000	3143000
438000	3391000
455000	3261000
372000	3294000
360000	3150000
342000	3063000
302000	2897000
280000	2812000
278000	2683000
338000	2548000
279000	2420000
277000	2324000
269000	2224000
291000	2151000
268000	2092000
266000	2052000
256000	1934000
242000	2012000
292000	1961000
287000	1974000
297000	1973000
347000	1918000
428000	2255000
421000	2295000
387000	2255000
371000	2248000
