15995	7185	1151	2891	948
16306	6899	1262	2933	1243
15273	7396	1096	2806	891
16357	7287	1157	2346	1284
16226	7220	1325	2916	1211
16519	7651	1318	2795	1090
17076	7720	1041	2675	1412
17242	7543	1373	3089	1246
17363	7961	1227	2914	1330
15446	7327	1509	2055	993
16948	7380	1223	3121	1153
16092	7501	1394	2682	1000
16672	7605	1270	2787	776
16902	7584	1494	2755	949
17000	7401	1303	2959	1341
16346	7505	1272	2841	1233
16731	7427	1314	2876	1017
16855	6993	1395	2774	1190
16360	7402	1245	2826	891
17053	7391	1266	2987	1052
16984	7088	1221	3053	1059
17537	6949	1364	3417	1448
17042	7506	1387	3086	721
17570	7396	1403	3233	1394
17092	7421	1387	3054	615
16254	7159	1306	2977	955
17193	7379	1250	3408	958
17035	7369	1335	3025	1174
15978	6652	1682	3087	1053
15683	6769	1127	2879	993
16258	6828	1372	2915	1426
16536	7344	1464	3279	897
18161	7447	1580	3616	1710
17129	7186	1172	3026	1643
16707	6642	1358	3188	1260
16923	6788	1534	3242	1032
16600	6783	1351	3727	1165
17852	7037	1395	3561	1361
17319	7112	1558	3665	1103
17190	7039	1433	3386	1682
16630	6576	1387	3723	1286
16389	7002	1256	3176	1111
15099	6770	1177	3266	1134
16763	7002	1332	3305	1146
16004	6806	1203	2629	1155
16415	7221	1141	3300	1091
17621	7379	1127	3226	1211
16782	7027	1393	3386	956
17783	7744	1372	3418	1294
16008	6464	1415	2757	1253
17152	7376	1283	2819	802
17639	7899	1281	3222	1071
16020	7318	832	3208	781
16476	7174	1453	2825	1087
16030	7086	1232	2744	1017
15455	7774	1204	2295	1050
17005	7104	1424	3170	1106
15377	7129	1102	2620	509
17251	7407	1324	2842	1326
14912	7701	1231	2353	679
17100	7572	1353	2814	912
17503	7813	1423	2597	1078
17614	7422	1503	3069	1022
16546	7792	1446	2538	874
17100	7433	1281	2912	897
17319	7796	1380	2808	718
17517	7700	1378	2519	1023
17100	7365	1516	2789	524
17636	7814	1323	2747	633
16829	7326	1308	3020	681
16525	7473	1236	2179	955
16432	7181	1160	2994	452
16251	7286	1390	2917	721
17830	7293	1583	3412	870
17231	7514	1286	3226	785
17201	7204	1467	3516	595
15859	7276	1141	2989	1316
17781	7509	1409	3122	1113
16319	6923	1285	3179	1069
16581	7056	1451	2822	801
17392	7240	1389	3628	1170
16876	7138	1364	3355	1029
17118	7432	1616	2649	747
17526	7354	1283	3507	1254
18197	7400	1594	3740	1027
18613	7596	1476	3158	1237
17810	7358	1583	2832	1309
15904	6852	1434	2857	989
16119	6726	1422	3194	977
17424	7131	1432	3626	1176
17607	6603	1719	3815	633
18017	7322	1401	3980	922
16811	6779	1330	3392	831
17697	7325	1303	3374	1024
17704	6961	1230	3735	1114
17866	7188	1371	4052	1114
16253	7100	1578	3159	638
17894	7239	1356	3444	1190
17571	7194	1377	3694	981
16100	6964	1341	2998	1270
16753	6797	1460	2915	883
17201	7561	1415	3344	915
17500	7392	1287	2713	977
17920	7470	1336	3358	981
16545	7657	1292	2997	791
17054	7649	1215	3014	1074
16418	7295	1348	3098	890
17417	7364	1486	2989	904
16676	7018	1187	3058	962
16674	7740	1223	2674	630
17393	7392	1508	2752	1198
16699	7804	1253	3155	915
17931	7868	1431	2865	781
16716	7578	1401	2481	783
17689	8113	1613	2843	916
17771	7916	1155	3069	965
16717	7336	1450	3152	1294
18595	8033	1430	3338	1146
17752	7581	1502	3061	950
18190	8187	1819	2672	1016
17330	7629	1285	3305	649
16367	7386	1358	2979	798
17653	7889	1334	2855	1016
17292	7478	1463	3103	1097
17282	7485	1295	3341	903
17326	7387	1401	3325	1290
17069	7276	1314	3227	627
18316	7613	1407	3432	995
17343	7704	1229	3485	950
17207	7788	1513	3056	704
17859	7640	1276	3796	575
17134	7552	1449	3305	777
18031	7992	1370	3429	1120
16341	6845	1331	3124	908
16879	7430	1303	2965	1073
18435	8074	1499	3700	1110
18538	7684	1455	3865	1208
16958	7411	1527	3057	1034
17178	7567	1286	3103	762
17837	7124	1607	4002	1229
17878	7124	1312	4212	1023
18020	7157	1413	4277	922
19126	6321	1584	4436	980
